episode,total_timesteps,length,reward,total_moves,move_ratio,total_senses,sense_ratio,initial_distance_to_victim,distance_to_maximum_belief,distance_to_maximum_belief_reduction,initial_belief_shannon_entropy,belief_shannon_entropy,belief_shannon_entropy_reduction,success,success_rate,failure,failure_rate
1,41,41,399.471495,29,0.7073170731707317,12,0.2926829268292683,5,7.0,-2.0,8.614708,-0.0,8.614708,1,1.0,0,0.0
2,441,400,-0.785405,385,0.9625,15,0.0375,13,23.0,-10.0,8.611026,8.282111167907715,0.32891464,0,0.5,1,0.5
3,442,1,399.739227,1,1.0,0,0.0,1,17.0,-16.0,8.592457,-0.0,8.592457,1,0.6666666666666666,0,0.3333333333333333
4,842,400,-0.376034,371,0.9275,29,0.0725,14,13.0,1.0,8.60733,7.410123825073242,1.1972065,0,0.5,1,0.5
5,1135,293,399.457797,292,0.9965870307167235,1,0.0034129692832764505,11,28.0,-17.0,8.618386,-0.0,8.618386,1,0.6,0,0.4
6,1535,400,-1.446719,372,0.93,28,0.07,16,9.0,7.0,8.611026,8.318021774291992,0.29300404,0,0.5,1,0.5
7,1935,400,-1.192278,393,0.9825,7,0.0175,10,28.0,-18.0,8.622052,8.423888206481934,0.19816399,0,0.42857142857142855,1,0.5714285714285714
8,2335,400,-0.124279,385,0.9625,15,0.0375,7,14.0,-7.0,8.60733,8.243206024169922,0.3641243,0,0.375,1,0.625
9,2735,400,-0.357175,333,0.8325,67,0.1675,21,9.0,12.0,8.603626,7.913029670715332,0.6905966,0,0.3333333333333333,1,0.6666666666666666
10,3135,400,0.693393,44,0.11,356,0.89,22,14.0,8.0,8.618386,7.949230670928955,0.6691556,0,0.3,1,0.7
11,3361,226,401.161176,166,0.7345132743362832,60,0.26548672566371684,14,5.0,9.0,8.611026,-0.0,8.611026,1,0.36363636363636365,0,0.6363636363636364
12,3462,101,400.932207,79,0.7821782178217822,22,0.21782178217821782,17,3.0,14.0,8.618386,-0.0,8.618386,1,0.4166666666666667,0,0.5833333333333334
13,3862,400,2.590316,250,0.625,150,0.375,25,27.0,-2.0,8.618386,7.359070777893066,1.2593155,0,0.38461538461538464,1,0.6153846153846154
14,4262,400,-1.075875,400,1.0,0,0.0,14,21.0,-7.0,8.614708,8.58143424987793,0.033273697,0,0.35714285714285715,1,0.6428571428571429
15,4351,89,399.904732,77,0.8651685393258427,12,0.1348314606741573,6,8.0,-2.0,8.614708,-0.0,8.614708,1,0.4,0,0.6
16,4751,400,-1.519626,362,0.905,38,0.095,6,18.0,-12.0,8.611026,8.397149085998535,0.21387672,0,0.375,1,0.625
17,4772,21,402.334379,20,0.9523809523809523,1,0.047619047619047616,15,5.0,10.0,8.636623,-0.0,8.636623,1,0.4117647058823529,0,0.5882352941176471
18,4782,10,400.316167,10,1.0,0,0.0,7,5.0,2.0,8.611026,-0.0,8.611026,1,0.4444444444444444,0,0.5555555555555556
19,5182,400,-1.848234,323,0.8075,77,0.1925,6,29.0,-23.0,8.60733,7.6820573806762695,0.92527294,0,0.42105263157894735,1,0.5789473684210527
20,5352,170,400.411944,79,0.4647058823529412,91,0.5352941176470588,15,14.0,1.0,8.622052,-0.0,8.622052,1,0.45,0,0.55
21,5675,323,399.46871,238,0.7368421052631579,85,0.2631578947368421,8,10.0,-2.0,8.622052,-0.0,8.622052,1,0.47619047619047616,0,0.5238095238095238
22,5924,249,400.989405,86,0.3453815261044177,163,0.6546184738955824,20,8.0,12.0,8.614708,-0.0,8.614708,1,0.5,0,0.5
23,6297,373,401.672883,346,0.9276139410187667,27,0.07238605898123325,27,28.0,-1.0,8.625709,-0.0,8.625709,1,0.5217391304347826,0,0.4782608695652174
24,6697,400,-1.626222,335,0.8375,65,0.1625,14,16.0,-2.0,8.622052,8.134917259216309,0.48713493,0,0.5,1,0.5
25,7097,400,-2.442728,393,0.9825,7,0.0175,8,14.0,-6.0,8.614708,7.706987380981445,0.90772057,0,0.48,1,0.52
26,7497,400,-2.037577,387,0.9675,13,0.0325,7,12.0,-5.0,8.611026,8.304658889770508,0.30636692,0,0.46153846153846156,1,0.5384615384615384
27,7897,400,-2.25198,361,0.9025,39,0.0975,8,28.0,-20.0,8.622052,8.501283645629883,0.12076855,0,0.4444444444444444,1,0.5555555555555556
28,8297,400,-2.121964,398,0.995,2,0.005,10,28.0,-18.0,8.60733,8.502994537353516,0.104335785,0,0.42857142857142855,1,0.5714285714285714
29,8697,400,-1.45662,301,0.7525,99,0.2475,19,10.0,9.0,8.60733,7.712156295776367,0.895174,0,0.41379310344827586,1,0.5862068965517241
30,9097,400,-0.937238,356,0.89,44,0.11,4,14.0,-10.0,8.622052,7.795551776885986,0.8265004,0,0.4,1,0.6
31,9497,400,0.312448,347,0.8675,53,0.1325,7,14.0,-7.0,8.618386,7.802581787109375,0.8158045,0,0.3870967741935484,1,0.6129032258064516
32,9897,400,-2.120953,400,1.0,0,0.0,5,26.0,-21.0,8.614708,8.500740051269531,0.113967896,0,0.375,1,0.625
33,9907,10,399.919082,10,1.0,0,0.0,8,3.0,5.0,8.60733,-0.0,8.60733,1,0.3939393939393939,0,0.6060606060606061
34,10307,400,-0.971573,373,0.9325,27,0.0675,18,14.0,4.0,8.614708,8.163406372070312,0.45130157,0,0.38235294117647056,1,0.6176470588235294
35,10707,400,1.369073,336,0.84,64,0.16,23,12.0,11.0,8.611026,7.029232025146484,1.5817938,0,0.37142857142857144,1,0.6285714285714286
36,11107,400,1.228581,391,0.9775,9,0.0225,31,35.0,-4.0,8.614708,8.561607360839844,0.053100586,0,0.3611111111111111,1,0.6388888888888888
