step,action,reward,total_moves,move_ratio,total_senses,sense_ratio,distance_to_maximum_belief,distance_to_maximum_belief_reduction,belief_shannon_entropy,belief_shannon_entropy_reduction,success,failure
1,4,-0.054462723,1,1.0,0,0.0,14.0,-4.0,8.615739822387695,0.009968757629394531,0,0
2,0,0.00046680204,1,0.5,1,0.5,5.0,0.0,8.58908462524414,0.026655197143554688,0,0
3,0,0.019504702,1,0.3333333333333333,2,0.6666666666666666,29.0,0.0,7.5675530433654785,1.021531581878662,0,0
4,1,0.0131046595,2,0.5,2,0.5,4.0,1.0,7.594064712524414,-0.026511669158935547,0,0
5,4,-0.014078676,3,0.6,2,0.4,5.0,-1.0,7.613882064819336,-0.019817352294921875,0,0
6,4,-0.014191276,4,0.6666666666666666,2,0.3333333333333333,7.0,-1.0,7.639533996582031,-0.025651931762695312,0,0
7,4,-0.014017644,5,0.7142857142857143,2,0.2857142857142857,7.0,-1.0,7.656065940856934,-0.016531944274902344,0,0
8,4,-0.0141508095,6,0.75,2,0.25,8.0,-1.0,7.679506301879883,-0.02344036102294922,0,0
9,4,-0.014099076,7,0.7777777777777778,2,0.2222222222222222,9.0,-1.0,7.700195789337158,-0.02068948745727539,0,0
10,4,-0.014035624,8,0.8,2,0.2,10.0,-1.0,7.717522621154785,-0.017326831817626953,0,0
11,2,-0.013974998,9,0.8181818181818182,2,0.18181818181818182,10.0,-1.0,7.731635093688965,-0.014112472534179688,0,0
12,1,0.01320798,10,0.8333333333333334,2,0.16666666666666666,9.0,1.0,7.753110408782959,-0.02147531509399414,0,0
13,2,-0.01398081,11,0.8461538461538461,2,0.15384615384615385,10.0,-1.0,7.767430782318115,-0.01432037353515625,0,0
14,1,0.013274981,12,0.8571428571428571,2,0.14285714285714285,9.0,1.0,7.785497665405273,-0.018066883087158203,0,0
15,2,-0.013977664,13,0.8666666666666667,2,0.13333333333333333,10.0,-1.0,7.799558162689209,-0.014060497283935547,0,0
16,1,0.013311824,14,0.875,2,0.125,9.0,1.0,7.815792083740234,-0.01623392105102539,0,0
17,2,-0.01396752,15,0.8823529411764706,2,0.11764705882352941,10.0,-1.0,7.829227447509766,-0.01343536376953125,0,0
18,2,0.013584324,16,0.8888888888888888,2,0.1111111111111111,9.0,1.0,7.831326007843018,-0.002098560333251953,0,0
19,1,-0.014053194,17,0.8947368421052632,2,0.10526315789473684,10.0,-1.0,7.849138259887695,-0.017812252044677734,0,0
20,1,0.013374657,18,0.9,2,0.1,9.0,1.0,7.862274169921875,-0.013135910034179688,0,0
21,2,-0.013964429,19,0.9047619047619048,2,0.09523809523809523,10.0,-1.0,7.875357151031494,-0.01308298110961914,0,0
22,2,0.0134474775,20,0.9090909090909091,2,0.09090909090909091,9.0,1.0,7.884783744812012,-0.009426593780517578,0,0
23,2,0.013498531,21,0.9130434782608695,2,0.08695652173913043,8.0,1.0,7.891592025756836,-0.006808280944824219,0,0
24,2,-0.013599397,22,0.9166666666666666,2,0.08333333333333333,9.0,-1.0,7.885482311248779,0.006109714508056641,0,0
25,1,0.013384989,23,0.92,2,0.08,8.0,1.0,7.898307800292969,-0.012825489044189453,0,0
26,1,-0.014007058,24,0.9230769230769231,2,0.07692307692307693,9.0,-1.0,7.913376331329346,-0.015068531036376953,0,0
27,1,-0.013944477,25,0.9259259259259259,2,0.07407407407407407,10.0,-1.0,7.925131797790527,-0.01175546646118164,0,0
28,1,0.0134564685,26,0.9285714285714286,2,0.07142857142857142,9.0,1.0,7.934365272521973,-0.009233474731445312,0,0
29,3,0.013482634,27,0.9310344827586207,2,0.06896551724137931,8.0,1.0,7.942279815673828,-0.007914543151855469,0,0
30,4,-0.013991321,28,0.9333333333333333,2,0.06666666666666667,9.0,-1.0,7.95633602142334,-0.014056205749511719,0,0
31,3,0.013470013,29,0.9354838709677419,2,0.06451612903225806,8.0,1.0,7.965001106262207,-0.008665084838867188,0,0
32,4,-0.013966079,30,0.9375,2,0.0625,9.0,-1.0,7.977644920349121,-0.012643814086914062,0,0
33,2,-0.01390941,31,0.9393939393939394,2,0.06060606060606061,10.0,-1.0,7.987285614013672,-0.009640693664550781,0,0
34,1,0.01343975,32,0.9411764705882353,2,0.058823529411764705,9.0,1.0,7.997666835784912,-0.010381221771240234,0,0
35,3,0.01349928,33,0.9428571428571428,2,0.05714285714285714,8.0,1.0,8.004989624023438,-0.007322788238525391,0,0
36,4,-0.013946894,34,0.9444444444444444,2,0.05555555555555555,9.0,-1.0,8.01644229888916,-0.011452674865722656,0,0
37,3,0.013492004,35,0.9459459459459459,2,0.05405405405405406,8.0,1.0,8.024236679077148,-0.007794380187988281,0,0
38,3,0.013564902,36,0.9473684210526315,2,0.05263157894736842,7.0,1.0,8.028276443481445,-0.004039764404296875,0,0
39,4,-0.013965386,37,0.9487179487179487,2,0.05128205128205128,8.0,-1.0,8.040550231933594,-0.012273788452148438,0,0
40,3,0.013540231,38,0.95,2,0.05,7.0,1.0,8.045969009399414,-0.0054187774658203125,0,0
41,3,0.013517353,39,0.9512195121951219,2,0.04878048780487805,6.0,1.0,8.052626609802246,-0.006657600402832031,0,0
42,3,0.013575528,40,0.9523809523809523,2,0.047619047619047616,5.0,1.0,8.05629825592041,-0.0036716461181640625,0,0
43,3,0.013522351,41,0.9534883720930233,2,0.046511627906976744,4.0,1.0,8.062788009643555,-0.006489753723144531,0,0
44,3,0.013509134,42,0.9545454545454546,2,0.045454545454545456,3.0,1.0,8.070013046264648,-0.00722503662109375,0,0
45,3,-0.013946887,43,0.9555555555555556,2,0.044444444444444446,4.0,-1.0,8.081035614013672,-0.011022567749023438,0,0
46,3,-0.013864058,44,0.9565217391304348,2,0.043478260869565216,5.0,-1.0,8.08769416809082,-0.0066585540771484375,0,0
47,3,-0.013861052,45,0.9574468085106383,2,0.0425531914893617,6.0,-1.0,8.094148635864258,-0.0064544677734375,0,0
48,4,0.013533718,46,0.9583333333333334,2,0.041666666666666664,5.0,1.0,8.1002779006958,-0.006129264831542969,0,0
49,4,0.013509494,47,0.9591836734693877,2,0.04081632653061224,4.0,1.0,8.107715606689453,-0.007437705993652344,0,0
50,4,0.013499928,48,0.96,2,0.04,3.0,1.0,8.115697860717773,-0.007982254028320312,0,0
51,4,-0.013940506,49,0.9607843137254902,2,0.0392156862745098,4.0,-1.0,8.12610149383545,-0.010403633117675781,0,0
52,4,-0.01388232,50,0.9615384615384616,2,0.038461538461538464,5.0,-1.0,8.133426666259766,-0.007325172424316406,0,0
53,4,-0.013884711,51,0.9622641509433962,2,0.03773584905660377,7.0,-1.0,8.140829086303711,-0.0074024200439453125,0,0
54,4,-0.013833083,52,0.9629629629629629,2,0.037037037037037035,8.0,-1.0,8.145495414733887,-0.004666328430175781,0,0
