step,action,reward,total_moves,move_ratio,total_senses,sense_ratio,distance_to_maximum_belief,distance_to_maximum_belief_reduction,belief_shannon_entropy,belief_shannon_entropy_reduction,success,failure
1,4,-6.30869,1,1.0,0,0.0,24.0,-19.0,8.612438201904297,0.002269744873046875,0,0
2,0,0.008853851,1,0.5,1,0.5,5.0,0.0,8.591852188110352,0.020586013793945312,0,0
3,0,0.011236241,1,0.3333333333333333,2,0.6666666666666666,31.0,0.0,8.566511154174805,0.025341033935546875,0,0
4,3,0.31712568,2,0.5,2,0.5,30.0,1.0,8.566967964172363,-0.00045680999755859375,0,0
5,2,-0.3065528,3,0.6,2,0.4,31.0,-1.0,8.557311058044434,0.009656906127929688,0,0
6,2,-0.29352245,4,0.6666666666666666,2,0.3333333333333333,32.0,-1.0,8.546518325805664,0.010792732238769531,0,0
7,0,0.009908571,4,0.5714285714285714,3,0.42857142857142855,32.0,0.0,8.522260665893555,0.024257659912109375,0,0
8,0,0.009893416,4,0.5,4,0.5,32.0,0.0,8.497564315795898,0.02469635009765625,0,0
9,3,0.28564593,5,0.5555555555555556,4,0.4444444444444444,31.0,1.0,8.494510650634766,0.0030536651611328125,0,0
10,0,0.012175607,5,0.5,5,0.5,31.0,0.0,8.464129447937012,0.030381202697753906,0,0
11,0,0.011235457,5,0.45454545454545453,6,0.5454545454545454,31.0,0.0,8.4356689453125,0.02846050262451172,0,0
12,0,0.0103235915,5,0.4166666666666667,7,0.5833333333333334,31.0,0.0,8.409204483032227,0.026464462280273438,0,0
13,0,0.009556817,5,0.38461538461538464,8,0.6153846153846154,31.0,0.0,8.384468078613281,0.024736404418945312,0,0
14,0,0.008779455,5,0.35714285714285715,9,0.6428571428571429,31.0,0.0,8.36125659942627,0.02321147918701172,0,0
15,0,0.008121765,5,0.3333333333333333,10,0.6666666666666666,31.0,0.0,8.339407920837402,0.021848678588867188,0,0
16,0,0.007552092,5,0.3125,11,0.6875,31.0,0.0,8.318796157836914,0.02061176300048828,0,0
17,0,0.007050893,5,0.29411764705882354,12,0.7058823529411765,31.0,0.0,8.29931640625,0.019479751586914062,0,0
18,0,0.006605951,5,0.2777777777777778,13,0.7222222222222222,31.0,0.0,8.280875205993652,0.018441200256347656,0,0
19,0,0.0062074633,5,0.2631578947368421,14,0.7368421052631579,31.0,0.0,8.26339054107666,0.017484664916992188,0,0
20,0,0.005849275,5,0.25,15,0.75,31.0,0.0,8.246786117553711,0.01660442352294922,0,0
21,0,0.005526303,5,0.23809523809523808,16,0.7619047619047619,31.0,0.0,8.23099136352539,0.015794754028320312,0,0
22,0,0.005190623,5,0.22727272727272727,17,0.7727272727272727,31.0,0.0,8.215946197509766,0.015045166015625,0,0
23,0,0.004851324,5,0.21739130434782608,18,0.782608695652174,31.0,0.0,8.201589584350586,0.014356613159179688,0,0
24,0,0.0045132004,5,0.20833333333333334,19,0.7916666666666666,31.0,0.0,8.187871932983398,0.0137176513671875,0,0
25,0,0.0042209,5,0.2,20,0.8,31.0,0.0,8.174742698669434,0.013129234313964844,0,0
26,0,-0.011263989,5,0.19230769230769232,21,0.8076923076923077,31.0,0.0,8.210786819458008,-0.03604412078857422,0,0
27,4,-0.22030914,6,0.2222222222222222,21,0.7777777777777778,14.0,-1.0,8.231598854064941,-0.020812034606933594,0,0
28,0,-0.0024035322,6,0.21428571428571427,22,0.7857142857142857,14.0,0.0,8.239885330200195,-0.008286476135253906,0,0
29,0,0.1545105,6,0.20689655172413793,23,0.7931034482758621,14.0,0.0,7.686304092407227,0.5535812377929688,0,0
30,1,0.18215866,7,0.23333333333333334,23,0.7666666666666667,10.0,1.0,7.718131065368652,-0.03182697296142578,0,0
31,2,-0.19081105,8,0.25806451612903225,23,0.7419354838709677,11.0,-1.0,7.748547077178955,-0.030416011810302734,0,0
32,1,0.16964485,9,0.28125,23,0.71875,10.0,1.0,7.7732014656066895,-0.024654388427734375,0,0
33,2,-0.17447762,10,0.30303030303030304,23,0.696969696969697,18.0,-1.0,7.79853630065918,-0.025334835052490234,0,0
34,1,0.15708923,11,0.3235294117647059,23,0.6764705882352942,17.0,1.0,7.819106101989746,-0.020569801330566406,0,0
35,2,-0.16000587,12,0.34285714285714286,23,0.6571428571428571,18.0,-1.0,7.84119987487793,-0.022093772888183594,0,0
36,1,0.14540343,13,0.3611111111111111,23,0.6388888888888888,17.0,1.0,7.858978271484375,-0.017778396606445312,0,0
37,2,-0.14723365,14,0.3783783783783784,23,0.6216216216216216,18.0,-1.0,7.878720760345459,-0.019742488861083984,0,0
38,1,0.1348339,15,0.39473684210526316,23,0.6052631578947368,17.0,1.0,7.894412994384766,-0.01569223403930664,0,0
39,2,-0.13603051,16,0.41025641025641024,23,0.5897435897435898,18.0,-1.0,7.912334442138672,-0.01792144775390625,0,0
40,1,0.12540397,17,0.425,23,0.575,17.0,1.0,7.926385402679443,-0.014050960540771484,0,0
41,2,-0.12620722,18,0.43902439024390244,23,0.5609756097560976,18.0,-1.0,7.942835330963135,-0.016449928283691406,0,0
42,1,0.11747139,19,0.4523809523809524,23,0.5476190476190477,16.0,1.0,7.955548286437988,-0.012712955474853516,0,0
43,2,-0.118808486,20,0.46511627906976744,23,0.5348837209302325,17.0,-1.0,7.970772743225098,-0.015224456787109375,0,0
44,1,0.11169323,21,0.4772727272727273,23,0.5227272727272727,16.0,1.0,7.982368469238281,-0.011595726013183594,0,0
45,2,-0.112941906,22,0.4888888888888889,23,0.5111111111111111,17.0,-1.0,7.996551036834717,-0.014182567596435547,0,0
46,1,0.106719054,23,0.5,23,0.5,15.0,1.0,8.007194519042969,-0.010643482208251953,0,0
