episode,total_timesteps,length,reward,total_moves,move_ratio,total_senses,sense_ratio,initial_distance_to_victim,distance_to_maximum_belief,distance_to_maximum_belief_reduction,initial_belief_shannon_entropy,belief_shannon_entropy,belief_shannon_entropy_reduction,success,success_rate,failure,failure_rate
1,400,400,-3.417282,275,0.6875,125,0.3125,5,23.0,-18.0,8.614708,8.02645492553711,0.588253,0,0.0,1,1.0
2,800,400,-0.775733,269,0.6725,131,0.3275,13,27.0,-14.0,8.611026,7.966904163360596,0.64412165,0,0.0,1,1.0
3,1045,245,401.152763,140,0.5714285714285714,105,0.42857142857142855,8,14.0,-6.0,8.614708,-0.0,8.614708,1,0.3333333333333333,0,0.6666666666666666
4,1076,31,401.814323,23,0.7419354838709677,8,0.25806451612903225,5,9.0,-4.0,8.622052,-0.0,8.622052,1,0.5,0,0.5
5,1476,400,1.023806,167,0.4175,233,0.5825,16,35.0,-19.0,8.629356,8.214841842651367,0.41451454,0,0.4,1,0.6
6,1876,400,1.40405,238,0.595,162,0.405,23,26.0,-3.0,8.614708,7.569934844970703,1.0447731,0,0.3333333333333333,1,0.6666666666666666
7,2276,400,-2.787666,218,0.545,182,0.455,21,25.0,-4.0,8.60733,8.169398307800293,0.437932,0,0.2857142857142857,1,0.7142857142857143
8,2676,400,-1.66569,174,0.435,226,0.565,10,11.0,-1.0,8.603626,5.649007320404053,2.954619,0,0.25,1,0.75
9,3076,400,-0.892738,269,0.6725,131,0.3275,16,19.0,-3.0,8.611026,7.886184215545654,0.7248416,0,0.2222222222222222,1,0.7777777777777778
10,3116,40,399.043628,29,0.725,11,0.275,10,6.0,4.0,8.614708,-0.0,8.614708,1,0.3,0,0.7
11,3516,400,0.749355,253,0.6325,147,0.3675,13,20.0,-7.0,8.625709,8.272211074829102,0.3534975,0,0.2727272727272727,1,0.7272727272727273
12,3916,400,-2.122542,234,0.585,166,0.415,19,29.0,-10.0,8.60733,8.130197525024414,0.4771328,0,0.25,1,0.75
13,4316,400,0.203592,194,0.485,206,0.515,30,9.0,21.0,8.611026,7.650882244110107,0.96014357,0,0.23076923076923078,1,0.7692307692307693
14,4716,400,-2.846911,128,0.32,272,0.68,5,19.0,-14.0,8.611026,7.780305862426758,0.83071995,0,0.21428571428571427,1,0.7857142857142857
15,5017,301,401.99758,210,0.6976744186046512,91,0.3023255813953488,15,3.0,12.0,8.629356,-0.0,8.629356,1,0.26666666666666666,0,0.7333333333333333
16,5067,50,401.000433,39,0.78,11,0.22,6,4.0,2.0,8.618386,-0.0,8.618386,1,0.3125,0,0.6875
17,5293,226,404.344689,166,0.7345132743362832,60,0.26548672566371684,19,1.0,18.0,8.625709,-0.0,8.625709,1,0.35294117647058826,0,0.6470588235294118
18,5693,400,0.276916,191,0.4775,209,0.5225,29,28.0,1.0,8.618386,7.974998474121094,0.6433878,0,0.3333333333333333,1,0.6666666666666666
19,5707,14,398.679014,12,0.8571428571428571,2,0.14285714285714285,1,7.0,-6.0,8.618386,-0.0,8.618386,1,0.3684210526315789,0,0.631578947368421
20,6107,400,-0.507513,140,0.35,260,0.65,13,32.0,-19.0,8.611026,7.942105293273926,0.6689205,0,0.35,1,0.65
21,6507,400,-1.66854,181,0.4525,219,0.5475,22,31.0,-9.0,8.60733,7.809817314147949,0.797513,0,0.3333333333333333,1,0.6666666666666666
22,6907,400,-2.535582,254,0.635,146,0.365,10,33.0,-23.0,8.60733,8.231389999389648,0.37594032,0,0.3181818181818182,1,0.6818181818181818
23,7109,202,402.003513,127,0.6287128712871287,75,0.3712871287128713,14,7.0,7.0,8.622052,-0.0,8.622052,1,0.34782608695652173,0,0.6521739130434783
24,7509,400,-1.712472,189,0.4725,211,0.5275,14,31.0,-17.0,8.618386,8.060246467590332,0.5581398,0,0.3333333333333333,1,0.6666666666666666
