step,action,reward,total_moves,move_ratio,total_senses,sense_ratio,distance_to_maximum_belief,distance_to_maximum_belief_reduction,belief_shannon_entropy,belief_shannon_entropy_reduction,success,failure
1,1,-1.9739015,1,1.0,0,0.0,27.0,-15.0,8.616458892822266,0.005593299865722656,0,0
2,2,0.13073711,2,1.0,0,0.0,3.0,1.0,8.614248275756836,0.0022106170654296875,0,0
3,0,0.004189701,2,0.6666666666666666,1,0.3333333333333333,8.0,0.0,8.584786415100098,0.02946186065673828,0,0
4,3,0.13105899,3,0.75,1,0.25,25.0,1.0,8.580832481384277,0.0039539337158203125,0,0
5,2,-0.13296823,4,0.8,1,0.2,26.0,-1.0,8.581586837768555,-0.0007543563842773438,0,0
6,0,0.00330753,4,0.6666666666666666,2,0.3333333333333333,26.0,0.0,8.556902885437012,0.02468395233154297,0,0
7,0,0.0031173618,4,0.5714285714285714,3,0.42857142857142855,26.0,0.0,8.533248901367188,0.02365398406982422,0,0
8,0,0.002832285,4,0.5,4,0.5,27.0,0.0,8.511138916015625,0.0221099853515625,0,0
9,4,0.12962973,5,0.5555555555555556,4,0.4444444444444444,26.0,1.0,8.514925956726074,-0.0037870407104492188,0,0
10,4,0.12974313,6,0.6,4,0.4,25.0,1.0,8.518098831176758,-0.0031728744506835938,0,0
11,3,-0.13342059,7,0.6363636363636364,4,0.36363636363636365,26.0,-1.0,8.521303176879883,-0.003204345703125,0,0
12,1,0.12994632,8,0.6666666666666666,4,0.3333333333333333,25.0,1.0,8.523375511169434,-0.0020723342895507812,0,0
13,2,-0.13335244,9,0.6923076923076923,4,0.3076923076923077,26.0,-1.0,8.52621078491211,-0.0028352737426757812,0,0
14,4,0.12992291,10,0.7142857142857143,4,0.2857142857142857,25.0,1.0,8.528409957885742,-0.0021991729736328125,0,0
15,3,-0.13327074,11,0.7333333333333333,4,0.26666666666666666,26.0,-1.0,8.530802726745605,-0.0023927688598632812,0,0
16,3,-0.13324063,12,0.75,4,0.25,27.0,-1.0,8.533032417297363,-0.0022296905517578125,0,0
17,0,0.0038209853,12,0.7058823529411765,5,0.29411764705882354,27.0,0.0,8.50556755065918,0.027464866638183594,0,0
18,0,0.108016536,12,0.6666666666666666,6,0.3333333333333333,27.0,0.0,7.913771152496338,0.5917963981628418,0,0
19,4,-0.1360104,13,0.6842105263157895,6,0.3157894736842105,6.0,-1.0,7.931002140045166,-0.017230987548828125,0,0
20,3,0.12694897,14,0.7,6,0.3,5.0,1.0,7.949308395385742,-0.018306255340576172,0,0
21,0,-0.013997279,14,0.6666666666666666,7,0.3333333333333333,8.0,0.0,8.018348693847656,-0.06904029846191406,0,0
22,0,-0.010218912,14,0.6363636363636364,8,0.36363636363636365,9.0,0.0,8.066925048828125,-0.04857635498046875,0,0
23,0,-0.008253132,14,0.6086956521739131,9,0.391304347826087,10.0,0.0,8.104854583740234,-0.037929534912109375,0,0
24,0,-0.0070482036,14,0.5833333333333334,10,0.4166666666666667,11.0,0.0,8.136258125305176,-0.031403541564941406,0,0
25,4,-0.13621306,15,0.6,10,0.4,12.0,-1.0,8.154586791992188,-0.01832866668701172,0,0
26,4,-0.13573483,16,0.6153846153846154,10,0.38461538461538464,13.0,-1.0,8.17032527923584,-0.015738487243652344,0,0
27,1,0.12826298,17,0.6296296296296297,10,0.37037037037037035,12.0,1.0,8.181514739990234,-0.011189460754394531,0,0
