step,action,reward,total_moves,move_ratio,total_senses,sense_ratio,distance_to_maximum_belief,distance_to_maximum_belief_reduction,belief_shannon_entropy,belief_shannon_entropy_reduction,success,failure
1,3,-3.3540084,1,1.0,0,0.0,22.0,-17.0,8.60794734954834,0.006760597229003906,0,0
2,3,-0.19547482,2,1.0,0,0.0,4.0,-1.0,8.598888397216797,0.009058952331542969,0,0
3,3,-0.19375585,3,1.0,0,0.0,7.0,-1.0,8.583646774291992,0.015241622924804688,0,0
4,3,0.19841225,4,1.0,0,0.0,3.0,1.0,8.577644348144531,0.0060024261474609375,0,0
5,4,-0.19776115,5,1.0,0,0.0,4.0,-1.0,8.57680892944336,0.000835418701171875,0,0
6,1,-0.19649032,6,1.0,0,0.0,5.0,-1.0,8.571402549743652,0.005406379699707031,0,0
7,2,-0.19802816,7,1.0,0,0.0,4.0,-1.0,8.571527481079102,-0.00012493133544921875,0,0
8,0,0.0063857413,7,0.875,1,0.125,7.0,0.0,8.546311378479004,0.025216102600097656,0,0
9,4,-0.19837949,8,0.8888888888888888,1,0.1111111111111111,28.0,-1.0,8.547699928283691,-0.0013885498046875,0,0
10,3,0.19633882,9,0.9,1,0.1,27.0,1.0,8.549155235290527,-0.0014553070068359375,0,0
11,0,0.008874142,9,0.8181818181818182,2,0.18181818181818182,27.0,0.0,8.514988899230957,0.03416633605957031,0,0
12,0,0.17667454,9,0.75,3,0.25,27.0,0.0,7.877281188964844,0.6377077102661133,0,0
13,4,-0.20361678,10,0.7692307692307693,3,0.23076923076923078,7.0,-1.0,7.897507190704346,-0.020226001739501953,0,0
14,0,-0.028079338,10,0.7142857142857143,4,0.2857142857142857,6.0,0.0,7.9962544441223145,-0.09874725341796875,0,0
15,4,-0.20207126,11,0.7333333333333333,4,0.26666666666666666,8.0,-1.0,8.010921478271484,-0.014667034149169922,0,0
16,1,0.1926424,12,0.75,4,0.25,7.0,1.0,8.02567195892334,-0.014750480651855469,0,0
17,4,-0.20201835,13,0.7647058823529411,4,0.23529411764705882,8.0,-1.0,8.040148735046387,-0.014476776123046875,0,0
18,2,-0.20143794,14,0.7777777777777778,4,0.2222222222222222,9.0,-1.0,8.05253791809082,-0.012389183044433594,0,0
19,3,0.19318888,15,0.7894736842105263,4,0.21052631578947367,8.0,1.0,8.065322875976562,-0.012784957885742188,0,0
20,4,-0.20128708,16,0.8,4,0.2,9.0,-1.0,8.077169418334961,-0.011846542358398438,0,0
21,4,-0.20157874,17,0.8095238095238095,4,0.19047619047619047,10.0,-1.0,8.090065002441406,-0.012895584106445312,0,0
22,0,-0.0061095566,17,0.7727272727272727,5,0.22727272727272727,10.0,0.0,8.10979175567627,-0.01972675323486328,0,0
23,0,-0.0048572696,17,0.7391304347826086,6,0.2608695652173913,10.0,0.0,8.125014305114746,-0.015222549438476562,0,0
24,0,-0.0042874697,17,0.7083333333333334,7,0.2916666666666667,10.0,0.0,8.138187408447266,-0.013173103332519531,0,0
25,0,-0.0039000907,17,0.68,8,0.32,11.0,0.0,8.149967193603516,-0.01177978515625,0,0
26,0,-0.0036357394,17,0.6538461538461539,9,0.34615384615384615,11.0,0.0,8.160796165466309,-0.010828971862792969,0,0
27,0,-0.0034360844,17,0.6296296296296297,10,0.37037037037037035,12.0,0.0,8.170907020568848,-0.010110855102539062,0,0
