episode,total_timesteps,length,reward,total_moves,move_ratio,total_senses,sense_ratio,initial_distance_to_victim,distance_to_maximum_belief,distance_to_maximum_belief_reduction,initial_belief_shannon_entropy,belief_shannon_entropy,belief_shannon_entropy_reduction,success,success_rate,failure,failure_rate
1,5,5,399.736356,4,0.8,1,0.2,5,28.0,-23.0,8.614708,-0.0,8.614708,1,1.0,0,0.0
2,405,400,-2.211905,279,0.6975,121,0.3025,13,29.0,-16.0,8.611026,8.056201934814453,0.5548239,0,0.5,1,0.5
3,805,400,-1.209897,287,0.7175,113,0.2825,20,24.0,-4.0,8.614708,7.8925371170043945,0.7221708,0,0.3333333333333333,1,0.6666666666666666
4,1205,400,-0.362828,276,0.69,124,0.31,25,14.0,11.0,8.614708,7.2722344398498535,1.3424735,0,0.25,1,0.75
5,1605,400,-1.02384,286,0.715,114,0.285,11,6.0,5.0,8.611026,6.586246967315674,2.0247788,0,0.2,1,0.8
6,1806,201,399.2322,137,0.681592039800995,64,0.31840796019900497,11,13.0,-2.0,8.614708,-0.0,8.614708,1,0.3333333333333333,0,0.6666666666666666
7,2206,400,2.260759,285,0.7125,115,0.2875,23,5.0,18.0,8.614708,6.65035343170166,1.9643545,0,0.2857142857142857,1,0.7142857142857143
8,2354,148,400.97552,113,0.7635135135135135,35,0.23648648648648649,10,2.0,8.0,8.622052,-0.0,8.622052,1,0.375,0,0.625
9,2754,400,-0.04283,300,0.75,100,0.25,13,29.0,-16.0,8.611026,7.3638386726379395,1.2471871,0,0.3333333333333333,1,0.6666666666666666
10,3154,400,-0.76222,272,0.68,128,0.32,21,8.0,13.0,8.618386,7.331310272216797,1.287076,0,0.3,1,0.7
11,3554,400,-2.343898,299,0.7475,101,0.2525,8,14.0,-6.0,8.611026,7.346893787384033,1.264132,0,0.2727272727272727,1,0.7272727272727273
12,3954,400,-1.841102,273,0.6825,127,0.3175,15,23.0,-8.0,8.614708,8.320516586303711,0.29419136,0,0.25,1,0.75
13,4354,400,-1.200955,284,0.71,116,0.29,16,22.0,-6.0,8.614708,7.802077770233154,0.8126302,0,0.23076923076923078,1,0.7692307692307693
14,4419,65,399.820857,51,0.7846153846153846,14,0.2153846153846154,5,10.0,-5.0,8.632996,-0.0,8.632996,1,0.2857142857142857,0,0.7142857142857143
15,4692,273,400.879791,188,0.6886446886446886,85,0.31135531135531136,17,1.0,16.0,8.622052,-0.0,8.622052,1,0.3333333333333333,0,0.6666666666666666
16,5092,400,-1.228825,278,0.695,122,0.305,11,25.0,-14.0,8.614708,8.10093879699707,0.51376915,0,0.3125,1,0.6875
17,5492,400,-0.509018,277,0.6925,123,0.3075,21,31.0,-10.0,8.625709,8.15358829498291,0.47212029,0,0.29411764705882354,1,0.7058823529411765
18,5892,400,-1.252126,300,0.75,100,0.25,16,20.0,-4.0,8.629356,8.366837501525879,0.26251888,0,0.2777777777777778,1,0.7222222222222222
19,6292,400,-0.946028,283,0.7075,117,0.2925,20,23.0,-3.0,8.618386,7.893098831176758,0.72528744,0,0.2631578947368421,1,0.7368421052631579
20,6692,400,-2.281426,272,0.68,128,0.32,1,20.0,-19.0,8.625709,8.113947868347168,0.5117607,0,0.25,1,0.75
21,7092,400,-1.491687,303,0.7575,97,0.2425,21,13.0,8.0,8.611026,7.379197120666504,1.2318287,0,0.23809523809523808,1,0.7619047619047619
22,7492,400,-0.406704,283,0.7075,117,0.2925,20,9.0,11.0,8.625709,7.041001796722412,1.5847068,0,0.22727272727272727,1,0.7727272727272727
23,7892,400,-0.771641,290,0.725,110,0.275,10,25.0,-15.0,8.599912,8.123226165771484,0.47668552,0,0.21739130434782608,1,0.782608695652174
24,8285,393,401.111383,291,0.7404580152671756,102,0.2595419847328244,16,4.0,12.0,8.629356,-0.0,8.629356,1,0.25,0,0.75
25,8685,400,-0.225438,267,0.6675,133,0.3325,5,16.0,-11.0,8.614708,7.921066761016846,0.6936412,0,0.24,1,0.76
26,9085,400,-0.540949,289,0.7225,111,0.2775,10,16.0,-6.0,8.618386,7.7776079177856445,0.84077835,0,0.23076923076923078,1,0.7692307692307693
27,9485,400,-1.778375,292,0.73,108,0.27,12,14.0,-2.0,8.60733,7.632562160491943,0.97476816,0,0.2222222222222222,1,0.7777777777777778
28,9885,400,-1.682439,288,0.72,112,0.28,6,13.0,-7.0,8.60733,8.016912460327148,0.59041786,0,0.21428571428571427,1,0.7857142857142857
29,9901,16,399.05852,13,0.8125,3,0.1875,5,11.0,-6.0,8.622052,-0.0,8.622052,1,0.2413793103448276,0,0.7586206896551724
30,10301,400,-0.64781,278,0.695,122,0.305,15,33.0,-18.0,8.625709,8.229198455810547,0.39651012,0,0.23333333333333334,1,0.7666666666666667
31,10701,400,-0.294838,294,0.735,106,0.265,20,5.0,15.0,8.614708,7.963559150695801,0.6511488,0,0.22580645161290322,1,0.7741935483870968
32,11101,400,-0.665787,258,0.645,142,0.355,20,15.0,5.0,8.614708,7.701920509338379,0.91278744,0,0.21875,1,0.78125
33,11501,400,-1.869289,285,0.7125,115,0.2875,16,21.0,-5.0,8.614708,7.913731575012207,0.7009764,0,0.21212121212121213,1,0.7878787878787878
34,11546,45,400.055404,33,0.7333333333333333,12,0.26666666666666666,6,8.0,-2.0,8.618386,-0.0,8.618386,1,0.23529411764705882,0,0.7647058823529411
35,11946,400,-0.110354,278,0.695,122,0.305,15,11.0,4.0,8.599912,8.08236026763916,0.5175514,0,0.22857142857142856,1,0.7714285714285715
