step,action,reward,total_moves,move_ratio,total_senses,sense_ratio,distance_to_maximum_belief,distance_to_maximum_belief_reduction,belief_shannon_entropy,belief_shannon_entropy_reduction,success,failure
1,0,-1.1836983,0,0.0,1,1.0,33.0,-18.0,8.592626571655273,0.02575969696044922,0,0
2,3,0.06429328,1,0.5,1,0.5,30.0,1.0,8.588539123535156,0.0040874481201171875,0,0
3,0,0.0010091761,1,0.3333333333333333,2,0.6666666666666666,30.0,0.0,8.557417869567871,0.031121253967285156,0,0
4,4,-0.067806944,2,0.5,2,0.5,31.0,-1.0,8.558955192565918,-0.001537322998046875,0,0
5,4,-0.067627266,3,0.6,2,0.4,32.0,-1.0,8.558553695678711,0.00040149688720703125,0,0
6,3,0.06373418,4,0.6666666666666666,2,0.3333333333333333,31.0,1.0,8.56049919128418,-0.00194549560546875,0,0
7,0,0.00095597014,4,0.5714285714285714,3,0.42857142857142855,31.0,0.0,8.529952049255371,0.030547142028808594,0,0
8,4,-0.06781587,5,0.625,3,0.375,32.0,-1.0,8.531585693359375,-0.0016336441040039062,0,0
9,3,0.06369016,6,0.6666666666666666,3,0.3333333333333333,31.0,1.0,8.534006118774414,-0.0024204254150390625,0,0
10,2,-0.067879595,7,0.7,3,0.3,32.0,-1.0,8.536327362060547,-0.0023212432861328125,0,0
11,0,0.00033331767,7,0.6363636363636364,4,0.36363636363636365,32.0,0.0,8.51249885559082,0.023828506469726562,0,0
12,1,0.06369865,8,0.6666666666666666,4,0.3333333333333333,31.0,1.0,8.514827728271484,-0.0023288726806640625,0,0
13,4,-0.067792274,9,0.6923076923076923,4,0.3076923076923077,32.0,-1.0,8.516206741333008,-0.0013790130615234375,0,0
14,0,0.00074632757,9,0.6428571428571429,5,0.35714285714285715,32.0,0.0,8.487921714782715,0.02828502655029297,0,0
15,0,0.00027330604,9,0.6,6,0.4,32.0,0.0,8.464740753173828,0.02318096160888672,0,0
16,1,-0.06780818,10,0.625,6,0.375,33.0,-1.0,8.466291427612305,-0.0015506744384765625,0,0
17,1,0.06370519,11,0.6470588235294118,6,0.35294117647058826,32.0,1.0,8.468549728393555,-0.00225830078125,0,0
18,2,-0.06794968,12,0.6666666666666666,6,0.3333333333333333,33.0,-1.0,8.471627235412598,-0.0030775070190429688,0,0
19,1,0.06372119,13,0.6842105263157895,6,0.3157894736842105,32.0,1.0,8.473712921142578,-0.0020856857299804688,0,0
20,0,0.001412376,13,0.65,7,0.35,32.0,0.0,8.438241004943848,0.03547191619873047,0,0
21,0,0.0008401895,13,0.6190476190476191,8,0.38095238095238093,32.0,0.0,8.408943176269531,0.029297828674316406,0,0
22,0,0.0004363713,13,0.5909090909090909,9,0.4090909090909091,32.0,0.0,8.384002685546875,0.02494049072265625,0,0
23,0,0.00014453323,13,0.5652173913043478,10,0.43478260869565216,32.0,0.0,8.362211227416992,0.021791458129882812,0,0
24,4,0.06358472,14,0.5833333333333334,10,0.4166666666666667,31.0,1.0,8.365769386291504,-0.0035581588745117188,0,0
25,4,-0.06805238,15,0.6,10,0.4,32.0,-1.0,8.369955062866211,-0.004185676574707031,0,0
26,2,-0.06805159,16,0.6153846153846154,10,0.38461538461538464,33.0,-1.0,8.37413215637207,-0.004177093505859375,0,0
27,0,-0.00071480684,16,0.5925925925925926,11,0.4074074074074074,33.0,0.0,8.361613273620605,0.012518882751464844,0,0
28,1,0.063525334,17,0.6071428571428571,11,0.39285714285714285,32.0,1.0,8.365812301635742,-0.004199028015136719,0,0
29,4,-0.068046816,18,0.6206896551724138,11,0.3793103448275862,33.0,-1.0,8.369937896728516,-0.0041255950927734375,0,0
30,0,0.053836584,18,0.6,12,0.4,33.0,0.0,7.7687907218933105,0.6011471748352051,0,0
31,1,0.062482685,19,0.6129032258064516,12,0.3870967741935484,7.0,1.0,7.784240245819092,-0.01544952392578125,0,0
32,2,-0.06978127,20,0.625,12,0.375,7.0,-1.0,7.80708122253418,-0.02284097671508789,0,0
33,0,-0.008161537,20,0.6060606060606061,13,0.3939393939393939,7.0,0.0,7.87491512298584,-0.06783390045166016,0,0
34,1,0.062239416,21,0.6176470588235294,13,0.38235294117647056,7.0,1.0,7.892989635467529,-0.018074512481689453,0,0
