episode,total_timesteps,length,reward,total_moves,move_ratio,total_senses,sense_ratio,initial_distance_to_victim,distance_to_maximum_belief,distance_to_maximum_belief_reduction,initial_belief_shannon_entropy,belief_shannon_entropy,belief_shannon_entropy_reduction,success,success_rate,failure,failure_rate
1,400,400,-2.027712,281,0.7025,119,0.2975,5,10.0,-5.0,8.614708,7.628392219543457,0.9863157,0,0.0,1,1.0
2,800,400,-4.14983,273,0.6825,127,0.3175,13,32.0,-19.0,8.611026,7.712751865386963,0.89827394,0,0.0,1,1.0
3,838,38,399.307939,28,0.7368421052631579,10,0.2631578947368421,6,6.0,0.0,8.618386,-0.0,8.618386,1,0.3333333333333333,0,0.6666666666666666
4,1238,400,0.689583,287,0.7175,113,0.2825,18,20.0,-2.0,8.618386,7.875239372253418,0.7431469,0,0.25,1,0.75
5,1638,400,0.412437,294,0.735,106,0.265,17,24.0,-7.0,8.618386,7.954119682312012,0.6642666,0,0.2,1,0.8
6,1685,47,399.954582,35,0.7446808510638298,12,0.2553191489361702,15,9.0,6.0,8.60733,-0.0,8.60733,1,0.3333333333333333,0,0.6666666666666666
7,2085,400,-2.744877,278,0.695,122,0.305,19,31.0,-12.0,8.625709,7.957440376281738,0.6682682,0,0.2857142857142857,1,0.7142857142857143
8,2485,400,-0.996021,303,0.7575,97,0.2425,7,17.0,-10.0,8.622052,7.740934371948242,0.8811178,0,0.25,1,0.75
9,2885,400,1.540135,282,0.705,118,0.295,21,14.0,7.0,8.625709,7.551126480102539,1.0745821,0,0.2222222222222222,1,0.7777777777777778
10,3285,400,-2.361242,281,0.7025,119,0.2975,6,29.0,-23.0,8.60733,7.995279312133789,0.612051,0,0.2,1,0.8
11,3293,8,398.427469,2,0.25,6,0.75,2,1.0,1.0,8.618386,-0.0,8.618386,1,0.2727272727272727,0,0.7272727272727273
12,3611,318,404.080079,213,0.6698113207547169,105,0.330188679245283,17,3.0,14.0,8.599912,-0.0,8.599912,1,0.3333333333333333,0,0.6666666666666666
13,4011,400,-1.198883,300,0.75,100,0.25,23,20.0,3.0,8.611026,8.120071411132812,0.4909544,0,0.3076923076923077,1,0.6923076923076923
14,4411,400,5.053259,296,0.74,104,0.26,30,12.0,18.0,8.629356,7.77188777923584,0.8574686,0,0.2857142857142857,1,0.7142857142857143
15,4811,400,-1.0361,291,0.7275,109,0.2725,18,13.0,5.0,8.622052,5.817402362823486,2.8046498,0,0.26666666666666666,1,0.7333333333333333
16,5211,400,1.825852,284,0.71,116,0.29,18,10.0,8.0,8.614708,8.131102561950684,0.48360538,0,0.25,1,0.75
17,5611,400,2.746491,281,0.7025,119,0.2975,26,32.0,-6.0,8.622052,8.144686698913574,0.4773655,0,0.23529411764705882,1,0.7647058823529411
18,5696,85,398.730105,52,0.611764705882353,33,0.38823529411764707,8,12.0,-4.0,8.618386,-0.0,8.618386,1,0.2777777777777778,0,0.7222222222222222
19,5745,49,400.21219,36,0.7346938775510204,13,0.2653061224489796,4,13.0,-9.0,8.618386,-0.0,8.618386,1,0.3157894736842105,0,0.6842105263157895
20,5994,249,401.541825,182,0.7309236947791165,67,0.26907630522088355,16,6.0,10.0,8.622052,-0.0,8.622052,1,0.35,0,0.65
21,6069,75,399.656423,48,0.64,27,0.36,12,14.0,-2.0,8.618386,-0.0,8.618386,1,0.38095238095238093,0,0.6190476190476191
22,6379,310,400.415972,227,0.7322580645161291,83,0.267741935483871,20,8.0,12.0,8.611026,-0.0,8.611026,1,0.4090909090909091,0,0.5909090909090909
23,6389,10,399.336298,8,0.8,2,0.2,1,33.0,-32.0,8.625709,-0.0,8.625709,1,0.43478260869565216,0,0.5652173913043478
24,6410,21,401.565342,15,0.7142857142857143,6,0.2857142857142857,11,10.0,1.0,8.614708,-0.0,8.614708,1,0.4583333333333333,0,0.5416666666666666
25,6810,400,0.896161,273,0.6825,127,0.3175,20,17.0,3.0,8.614708,8.179967880249023,0.43474007,0,0.44,1,0.56
26,6820,10,400.001173,5,0.5,5,0.5,4,3.0,1.0,8.614708,-0.0,8.614708,1,0.46153846153846156,0,0.5384615384615384
27,6952,132,398.141207,91,0.6893939393939394,41,0.3106060606060606,7,1.0,6.0,8.625709,-0.0,8.625709,1,0.48148148148148145,0,0.5185185185185185
