step,action,reward,total_moves,move_ratio,total_senses,sense_ratio,distance_to_maximum_belief,distance_to_maximum_belief_reduction,belief_shannon_entropy,belief_shannon_entropy_reduction,success,failure
1,0,-10.0,0,0.0,1,1.0,23.0,-18.0,8.585598945617676,0.02910900115966797,0,0
2,2,-0.56054276,1,0.5,1,0.5,31.0,-1.0,8.573979377746582,0.01161956787109375,0,0
3,3,0.5886556,2,0.6666666666666666,1,0.3333333333333333,30.0,1.0,8.56846809387207,0.005511283874511719,0,0
4,4,-0.52198243,3,0.75,1,0.25,31.0,-1.0,8.567651748657227,0.00081634521484375,0,0
5,1,0.46900177,4,0.8,1,0.2,30.0,1.0,8.565939903259277,0.0017118453979492188,0,0
6,2,-0.46235362,5,0.8333333333333334,1,0.16666666666666666,31.0,-1.0,8.565839767456055,0.00010013580322265625,0,0
7,2,-0.4125584,6,0.8571428571428571,1,0.14285714285714285,32.0,-1.0,8.55496883392334,0.010870933532714844,0,0
8,0,0.008014103,6,0.75,2,0.25,32.0,0.0,8.533618927001953,0.02134990692138672,0,0
9,0,0.00922531,6,0.6666666666666666,3,0.3333333333333333,32.0,0.0,8.509757995605469,0.023860931396484375,0,0
10,0,0.0091530625,6,0.6,4,0.4,32.0,0.0,8.485432624816895,0.02432537078857422,0,0
11,1,0.36782518,7,0.6363636363636364,4,0.36363636363636365,31.0,1.0,8.488506317138672,-0.0030736923217773438,0,0
12,0,0.009300985,7,0.5833333333333334,5,0.4166666666666667,31.0,0.0,8.463886260986328,0.02462005615234375,0,0
13,0,0.008043576,7,0.5384615384615384,6,0.46153846153846156,31.0,0.0,8.441240310668945,0.022645950317382812,0,0
14,1,0.3482246,8,0.5714285714285714,6,0.42857142857142855,30.0,1.0,8.445184707641602,-0.00394439697265625,0,0
15,4,-0.35772336,9,0.6,6,0.4,31.0,-1.0,8.448805809020996,-0.0036211013793945312,0,0
16,1,-0.3568842,10,0.625,6,0.375,32.0,-1.0,8.451498985290527,-0.00269317626953125,0,0
17,0,0.006440792,10,0.5882352941176471,7,0.4117647058823529,32.0,0.0,8.431625366210938,0.019873619079589844,0,0
18,3,0.3464279,11,0.6111111111111112,7,0.3888888888888889,31.0,1.0,8.435172080993652,-0.0035467147827148438,0,0
