step,action,reward,total_moves,move_ratio,total_senses,sense_ratio,distance_to_maximum_belief,distance_to_maximum_belief_reduction,belief_shannon_entropy,belief_shannon_entropy_reduction,success,failure
1,3,0.12239649,1,1.0,0,0.0,5.0,9.0,8.621122360229492,0.004586219787597656,0,0
2,2,-0.013610204,2,1.0,0,0.0,9.0,-1.0,8.61967658996582,0.001445770263671875,0,0
3,0,0.00028607633,2,0.6666666666666666,1,0.3333333333333333,9.0,0.0,8.602401733398438,0.017274856567382812,0,0
4,0,0.00042062343,2,0.5,2,0.5,32.0,0.0,8.578064918518066,0.024336814880371094,0,0
5,1,0.013525543,3,0.6,2,0.4,31.0,1.0,8.579437255859375,-0.0013723373413085938,0,0
6,2,-0.013680031,4,0.6666666666666666,2,0.3333333333333333,32.0,-1.0,8.581653594970703,-0.002216339111328125,0,0
7,0,0.00046661246,4,0.5714285714285714,3,0.42857142857142855,32.0,0.0,8.554903030395508,0.026750564575195312,0,0
8,0,0.00042921948,4,0.5,4,0.5,32.0,0.0,8.530115127563477,0.02478790283203125,0,0
9,1,0.013488603,5,0.5555555555555556,4,0.4444444444444444,31.0,1.0,8.533429145812988,-0.0033140182495117188,0,0
10,4,0.0135013545,6,0.6,4,0.4,30.0,1.0,8.5360746383667,-0.0026454925537109375,0,0
11,4,0.013540816,7,0.6363636363636364,4,0.36363636363636365,29.0,1.0,8.536649703979492,-0.0005750656127929688,0,0
12,2,0.013568609,8,0.6666666666666666,4,0.3333333333333333,28.0,1.0,8.5357666015625,0.0008831024169921875,0,0
13,4,0.01361988,9,0.6923076923076923,4,0.3076923076923077,27.0,1.0,8.532193183898926,0.0035734176635742188,0,0
14,2,0.013531532,10,0.7142857142857143,4,0.2857142857142857,26.0,1.0,8.533257484436035,-0.001064300537109375,0,0
15,4,0.013629682,11,0.7333333333333333,4,0.26666666666666666,25.0,1.0,8.529170989990234,0.004086494445800781,0,0
16,2,0.013704884,12,0.75,4,0.25,24.0,1.0,8.521138191223145,0.008032798767089844,0,0
17,2,0.013775542,13,0.7647058823529411,4,0.23529411764705882,23.0,1.0,8.509397506713867,0.011740684509277344,0,0
18,4,0.013723371,14,0.7777777777777778,4,0.2222222222222222,22.0,1.0,8.500395774841309,0.009001731872558594,0,0
19,2,0.013658481,15,0.7894736842105263,4,0.21052631578947367,21.0,1.0,8.494800567626953,0.005595207214355469,0,0
20,2,0.013700121,16,0.8,4,0.2,20.0,1.0,8.487020492553711,0.0077800750732421875,0,0
21,2,0.013762966,17,0.8095238095238095,4,0.19047619047619047,19.0,1.0,8.475942611694336,0.011077880859375,0,0
22,4,0.013707708,18,0.8181818181818182,4,0.18181818181818182,18.0,1.0,8.467765808105469,0.008176803588867188,0,0
23,0,0.0004956919,18,0.782608695652174,5,0.21739130434782608,18.0,0.0,8.439489364624023,0.028276443481445312,0,0
24,3,-0.013687232,19,0.7916666666666666,5,0.20833333333333334,19.0,-1.0,8.442070960998535,-0.0025815963745117188,0,0
25,0,0.0007136796,19,0.76,6,0.24,19.0,0.0,8.402353286743164,0.039717674255371094,0,0
26,0,0.0006915854,19,0.7307692307692307,7,0.2692307692307692,19.0,0.0,8.363795280456543,0.038558006286621094,0,0
27,0,0.0006541738,19,0.7037037037037037,8,0.2962962962962963,19.0,0.0,8.327200889587402,0.036594390869140625,0,0
28,4,0.013415411,20,0.7142857142857143,8,0.2857142857142857,23.0,1.0,8.334369659423828,-0.007168769836425781,0,0
29,4,0.013517958,21,0.7241379310344828,8,0.27586206896551724,22.0,1.0,8.336156845092773,-0.0017871856689453125,0,0
30,2,-0.013591245,22,0.7333333333333333,8,0.26666666666666666,23.0,-1.0,8.333696365356445,0.002460479736328125,0,0
31,2,-0.013663993,23,0.7419354838709677,8,0.25806451612903225,24.0,-1.0,8.335053443908691,-0.0013570785522460938,0,0
32,2,-0.013602481,24,0.75,8,0.25,25.0,-1.0,8.333181381225586,0.0018720626831054688,0,0
33,2,-0.013553181,25,0.7575757575757576,8,0.24242424242424243,26.0,-1.0,8.328721046447754,0.004460334777832031,0,0
34,2,-0.013579451,26,0.7647058823529411,8,0.23529411764705882,27.0,-1.0,8.325638771057129,0.003082275390625,0,0
35,1,0.013492653,27,0.7714285714285715,8,0.22857142857142856,26.0,1.0,8.328758239746094,-0.0031194686889648438,0,0
36,2,-0.013682611,28,0.7777777777777778,8,0.2222222222222222,27.0,-1.0,8.33108901977539,-0.002330780029296875,0,0
37,2,-0.0136564225,29,0.7837837837837838,8,0.21621621621621623,28.0,-1.0,8.33204460144043,-0.0009555816650390625,0,0
